City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
77,Port Alfred,Za,-33.5906,26.891,58.17,94,100,5.01,moderate rain
78,Cherskiy,Ru,68.75,161.3,48.2,69,37,8.16,scattered clouds
79,Iguape,Br,-24.7081,-47.5553,65.66,59,5,10.07,clear sky
80,Sao Filipe,Cv,14.8961,-24.4956,75.92,67,27,11.52,scattered clouds
81,Mahebourg,Mu,-20.4081,57.7,75.49,78,75,8.05,broken clouds
82,Lasa,It,46.6166,10.7002,60.13,92,95,2.51,overcast clouds
83,Puerto Ayora,Ec,-0.7393,-90.3518,84.16,91,92,5.01,overcast clouds
84,Salina,Us,38.8403,-97.6114,94.01,41,0,16.11,clear sky
85,Puerto Escondido,Mx,15.85,-97.0667,89.06,53,57,11.5,broken clouds
86,Ituiutaba,Br,-18.9689,-49.465,62.71,47,100,6.33,overcast clouds
87,Atuona,Pf,-9.8,-139.0333,77.94,62,18,9.19,few clouds
88,Bindura,Zw,-17.3019,31.3306,59.61,65,39,0.78,scattered clouds
89,Poya,Nc,-21.35,165.15,73.74,87,4,5.46,clear sky
90,Mbandaka,Cd,0.0487,18.2603,73.78,92,100,3.47,overcast clouds
91,Bengkulu,Id,-3.8004,102.2655,75.74,89,24,3.4,few clouds
92,Qui Nhon,Vn,13.7667,109.2333,77.23,92,100,5.75,overcast clouds
93,Khatanga,Ru,71.9667,102.5,20.05,93,49,3.89,scattered clouds
94,Saint George,Us,37.1041,-113.5841,93.63,11,0,16.11,clear sky
95,Bonthe,Sl,7.5264,-12.505,80.62,84,35,7.85,scattered clouds
96,Souillac,Mu,-20.5167,57.5167,75.58,78,75,8.05,broken clouds
97,Tuktoyaktuk,Ca,69.4541,-133.0374,32.0,93,100,6.91,overcast clouds
98,Longyearbyen,Sj,78.2186,15.6401,30.04,74,75,13.8,broken clouds
99,Ambositra,Mg,-20.5167,47.25,55.62,92,100,2.89,overcast clouds
100,Namibe,Ao,-15.1961,12.1522,67.91,79,5,9.84,clear sky
101,Morant Bay,Jm,17.8815,-76.4093,91.71,71,94,13.44,overcast clouds
102,Tunceli,Tr,39.1083,39.5471,54.7,88,80,1.77,broken clouds
103,Faanui,Pf,-16.4833,-151.75,80.44,70,0,8.25,clear sky
104,Esperance,Au,-33.8667,121.9,61.92,68,69,7.23,broken clouds
105,Pochutla,Mx,15.7432,-96.4661,88.83,42,46,11.61,scattered clouds
106,Vangaindrano,Mg,-23.35,47.6,66.42,84,0,3.71,clear sky
107,Saint-Philippe,Re,-21.3585,55.7679,69.39,76,42,10.76,scattered clouds
108,Georgetown,My,5.4112,100.3354,82.33,88,20,3.44,few clouds
109,Linjiang,Cn,41.8069,126.9078,49.39,97,17,1.77,few clouds
110,Thunder Bay,Ca,48.4001,-89.3168,55.38,62,100,4.61,overcast clouds
111,Calama,Cl,-22.4667,-68.9333,72.09,10,0,23.02,clear sky
112,Marsh Harbour,Bs,26.5412,-77.0636,80.92,72,35,2.73,scattered clouds
113,Nantucket,Us,41.2835,-70.0995,52.0,94,100,15.17,overcast clouds
114,Koboko,Ug,3.4136,30.9599,66.81,81,97,4.16,light rain
115,Ribeira Grande,Pt,38.5167,-28.7,63.0,72,20,12.66,few clouds
116,Evensk,Ru,61.95,159.2333,38.01,92,100,12.08,overcast clouds
117,Alofi,Nu,-19.0595,-169.9187,75.09,94,100,9.22,overcast clouds
118,Mayo,Us,38.8876,-76.5119,84.67,58,40,9.22,scattered clouds
119,Natal,Br,-5.795,-35.2094,86.65,70,20,13.8,few clouds
120,Pilibanga,In,29.4916,74.079,94.42,12,3,7.49,clear sky
121,Nemencine,Lt,54.85,25.4833,64.92,86,100,5.19,overcast clouds
122,Mount Gambier,Au,-37.8333,140.7667,46.71,81,16,5.19,few clouds
123,Kodiak,Us,57.79,-152.4072,54.91,47,0,4.61,clear sky
124,Vila Franca Do Campo,Pt,37.7167,-25.4333,65.19,82,43,12.97,scattered clouds
125,Barrow,Us,71.2906,-156.7887,24.82,86,100,18.41,mist
126,Nador,Ma,35.174,-2.9287,69.87,88,100,4.61,overcast clouds
127,Akureyri,Is,65.6835,-18.0878,55.33,58,75,8.05,broken clouds
128,Pangnirtung,Ca,66.1451,-65.7125,30.2,93,75,8.05,broken clouds
129,Airai,Tl,-8.9266,125.4092,57.83,92,45,3.76,scattered clouds
130,Ambilobe,Mg,-13.2,49.05,69.91,82,100,3.47,overcast clouds
131,Bodden Town,Ky,19.2833,-81.25,87.01,77,75,10.36,broken clouds
132,Komsomolskiy,Uz,40.4272,71.7189,70.52,56,27,2.3,scattered clouds
133,Kishi,Ng,9.0833,3.85,78.24,72,9,6.49,clear sky
134,Tabou,Ci,4.423,-7.3528,79.09,86,100,9.22,light rain
135,Port Macquarie,Au,-31.4333,152.9167,56.89,61,100,5.97,light rain
136,Necochea,Ar,-38.5473,-58.7368,56.19,48,47,7.52,scattered clouds
137,Kavieng,Pg,-2.5744,150.7967,81.73,78,11,8.55,few clouds
138,Kishorganj,Bd,24.4333,90.7667,75.58,90,100,7.0,overcast clouds
139,Vestmannaeyjar,Is,63.4427,-20.2734,49.19,93,100,21.85,fog
140,Columbus,Us,39.9612,-82.9988,80.53,63,75,14.97,broken clouds
141,Kieta,Pg,-6.2167,155.6333,78.6,82,1,2.91,clear sky
142,Quatre Cocos,Mu,-20.2078,57.7625,75.31,78,82,14.25,light rain
143,Anamur,Tr,36.0751,32.8369,68.11,63,0,8.39,clear sky
144,Cidreira,Br,-30.1811,-50.2056,60.58,77,45,11.48,scattered clouds
145,Gizo,Sb,-8.103,156.8419,81.39,76,6,5.12,clear sky
146,Iqaluit,Ca,63.7506,-68.5145,31.73,74,100,4.61,overcast clouds
147,Tuatapere,Nz,-46.1333,167.6833,43.41,83,100,10.36,overcast clouds
148,Yumen,Cn,40.2833,97.2,61.86,33,28,2.75,scattered clouds
149,Omsukchan,Ru,62.5333,155.8,31.62,95,100,5.5,overcast clouds
150,Fortuna,Us,40.5982,-124.1573,59.94,67,40,20.71,scattered clouds
151,Fort Nelson,Ca,58.8053,-122.7002,54.99,26,40,12.66,scattered clouds
152,Zhigansk,Ru,66.7697,123.3711,31.84,81,3,4.9,clear sky
153,Sambava,Mg,-14.2667,50.1667,71.47,81,62,10.25,broken clouds
154,Bethel,Us,41.3712,-73.414,60.04,84,100,5.75,overcast clouds
155,Saint-Pierre,Re,-21.3393,55.4781,69.48,68,0,8.05,clear sky
156,Comodoro Rivadavia,Ar,-45.8667,-67.5,49.86,81,20,5.75,few clouds
157,Nanortalik,Gl,60.1432,-45.2371,38.35,64,7,10.65,clear sky
158,Wageningen,Nl,51.9667,5.6667,62.69,85,100,9.22,overcast clouds
159,Matipo,Br,-20.2839,-42.3411,60.04,59,4,5.88,clear sky
160,Agadez,Ne,19.75,10.25,85.96,16,43,3.69,scattered clouds
161,La Ronge,Ca,55.1001,-105.2842,44.82,52,75,17.27,broken clouds
162,Swift Current,Ca,50.2834,-107.8014,45.41,81,100,2.3,overcast clouds
163,Mezinovskiy,Ru,55.5042,40.3593,39.45,95,63,5.19,broken clouds
164,Hasaki,Jp,35.7333,140.8333,59.4,79,98,14.56,overcast clouds
165,Bathurst,Au,-33.4166,149.5806,44.83,87,100,5.39,overcast clouds
166,Arlit,Ne,18.7369,7.3853,86.76,30,98,17.36,overcast clouds
167,Chokurdakh,Ru,70.6333,147.9167,30.38,93,85,4.97,overcast clouds
168,Trairi,Br,-3.2778,-39.2689,79.97,83,83,4.47,broken clouds
169,Axim,Gh,4.8699,-2.2405,79.61,87,100,7.54,overcast clouds
170,Sobolevo,Ru,54.4299,31.8996,47.53,80,72,7.94,broken clouds
171,Synya,Ru,65.3718,58.0387,33.96,73,94,10.56,overcast clouds
172,Kirakira,Sb,-10.4544,161.9205,78.22,83,0,3.62,clear sky
173,Denpasar,Id,-8.65,115.2167,80.26,88,40,3.44,scattered clouds
174,Havre-Saint-Pierre,Ca,50.2334,-63.5986,50.36,53,0,20.71,clear sky
175,Ibajay,Ph,11.8199,122.162,78.15,86,30,6.26,scattered clouds
176,Beidao,Cn,34.5686,105.8933,59.07,79,100,3.85,overcast clouds
