City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-05-18 23:25:09,-9.8,-139.0333,78.78,66,26,15.19
1,Arraial Do Cabo,BR,2022-05-18 23:25:09,-22.9661,-42.0278,69.04,54,0,20.71
2,Vilhena,BR,2022-05-18 23:25:09,-12.7406,-60.1458,61.02,55,0,9.22
3,Fairbanks,US,2022-05-18 23:25:10,64.8378,-147.7164,61.02,34,40,5.75
4,Bluff,NZ,2022-05-18 23:25:10,-46.6,168.3333,50.67,83,79,17.09
5,Albany,US,2022-05-18 23:21:50,42.6001,-73.9662,62.78,38,100,6.6
6,Ajdabiya,LY,2022-05-18 23:22:07,30.7554,20.2263,66.34,76,0,13.0
7,Tilichiki,RU,2022-05-18 23:25:11,60.4667,166.1,34.95,85,100,5.03
8,Kolokani,ML,2022-05-18 23:25:11,13.5728,-8.0339,88.3,10,17,7.25
9,Aklavik,CA,2022-05-18 23:25:11,68.2191,-135.0107,32.0,74,100,10.36
10,Cidreira,BR,2022-05-18 23:25:11,-30.1811,-50.2056,59.95,76,92,21.16
11,Ushuaia,AR,2022-05-18 23:25:12,-54.8,-68.3,40.66,81,75,4.61
12,Rikitea,PF,2022-05-18 23:25:12,-23.1203,-134.9692,76.69,77,41,15.46
13,Busselton,AU,2022-05-18 23:25:12,-33.65,115.3333,60.46,84,77,1.95
14,Khatanga,RU,2022-05-18 23:25:13,71.9667,102.5,32.7,98,100,7.07
15,Thompson,CA,2022-05-18 23:25:13,55.7435,-97.8558,50.16,29,20,10.36
16,Vaini,TO,2022-05-18 23:25:13,-21.2,-175.2,76.37,69,58,17.63
17,Vardo,NO,2022-05-18 23:25:14,70.3705,31.1107,33.78,75,100,20.71
18,Novobiryusinskiy,RU,2022-05-18 23:25:14,56.9578,97.7076,57.54,87,69,2.35
19,Mataura,NZ,2022-05-18 23:25:15,-46.1927,168.8643,50.23,87,70,7.25
20,Punta Arenas,CL,2022-05-18 23:20:17,-53.15,-70.9167,42.91,87,20,5.75
21,Inhambane,MZ,2022-05-18 23:25:15,-23.865,35.3833,69.71,82,10,3.94
22,Hobart,AU,2022-05-18 23:20:30,-42.8794,147.3294,54.01,67,40,23.02
23,Castro,BR,2022-05-18 23:25:15,-24.7911,-50.0119,43.05,92,100,12.37
24,Matagami,CA,2022-05-18 23:25:16,49.7502,-77.6328,57.31,38,75,5.75
25,La Orilla,MX,2022-05-18 23:25:16,17.9833,-102.2333,85.44,43,41,14.32
26,Codrington,AU,2022-05-18 23:25:16,-38.2667,141.9667,55.24,66,52,10.2
27,Tocopilla,CL,2022-05-18 23:25:17,-22.092,-70.1979,61.59,74,100,0.65
28,Bredasdorp,ZA,2022-05-18 23:25:17,-34.5322,20.0403,58.66,79,100,18.14
29,Norman Wells,CA,2022-05-18 23:25:17,65.282,-126.8329,39.24,93,100,13.8
30,Tiksi,RU,2022-05-18 23:25:18,71.6872,128.8694,24.66,92,98,6.2
